import time: self [us] | cumulative | imported package
import time:     25693 |      25693 |       sqlalchemy.dialects.postgresql.psycopg2cffi
import time:     30114 |      30114 |         sqlalchemy.dialects._typing
import time:     22765 |      52878 |       sqlalchemy.dialects.postgresql.dml
import time:     68475 |     716963 |     sqlalchemy.dialects.postgresql
import time:      1356 |       1356 |         psycopg2.errors
import time:   1130281 |    1131636 |       psycopg2._psycopg
import time:     32585 |      32585 |         psycopg2._json
import time:     38346 |      38346 |         psycopg2._range
import time:     33869 |     104800 |       psycopg2.extensions
import time:     73670 |    1310105 |     psycopg2
import time:     43171 |      43171 |       psycopg2._ipaddress
import time:     32150 |      75321 |     psycopg2.extras
import time:    126786 |   15310606 |   app.database
import time:       861 |        861 |   app.routers
import time:     69009 |      69009 |     app.models
import time:    150807 |     150807 |     app.schemas
import time:     45133 |      45133 |         jose.exceptions
import time:      2155 |      47287 |       jose
import time:     34904 |      34904 |         calendar
import time:      1218 |       1218 |                         cryptography
import time:       120 |       1338 |                       cryptography.utils
import time:     24920 |      24920 |                           six
import time:      1049 |       1049 |                                 gmpy2
import time:       829 |        829 |                                 gmpy
import time:       160 |        160 |                                   six.moves
import time:      1208 |       1208 |                                   gmpy2
import time:      1083 |       1083 |                                   gmpy
import time:     29219 |      29219 |                                       ecdsa._compat
import time:     32583 |      61802 |                                     ecdsa.der
import time:     24296 |      86097 |                                   ecdsa.util
import time:     40704 |     129251 |                                 ecdsa.numbertheory
import time:      1586 |       1586 |                                 ecdsa.errors
import time:     27440 |     160153 |                               ecdsa.ellipticcurve
import time:     56112 |     216264 |                             ecdsa.ecdsa
import time:     21966 |      21966 |                               ecdsa._sha3
import time:     38880 |      60846 |                             ecdsa.eddsa
import time:     16805 |      16805 |                             ecdsa.ssh
import time:      1890 |       1890 |                             ecdsa.rfc6979
import time:     26213 |      26213 |                             ecdsa.curves
import time:     29430 |     351445 |                           ecdsa.keys
import time:     21638 |      21638 |                           ecdsa.ecdh
import time:     32215 |      32215 |                           ecdsa._version
import time:     34894 |     465110 |                         ecdsa
import time:        72 |     465181 |                       ecdsa.ecdsa
import time:     44005 |     510523 |                     jose.utils
import time:     33368 |     543890 |                   jose.backends.base
import time:     22864 |      22864 |                   jose.constants
import time:     18769 |     585522 |                 jose.backends.native
import time:       845 |        845 |                     cryptography
import time:        92 |        936 |                   cryptography.exceptions
import time:     27746 |      28682 |                 jose.backends.cryptography_backend
import time:     45760 |      45760 |                         rsa.common
import time:     45643 |      45643 |                           rsa.transform
import time:     30928 |      76571 |                         rsa.randnum
